ADEP,ADES,ICAO Route,Synthesized Route,Hausdorff Distance
AKL,SIN,SALAG DCT 31S163E/N0495F320 DCT 28S160E DCT VEMLA A346 LEEAM/N0493F340 A346 OVRON DCT ALBUX DCT TL J138 ONARA DCT ENTOL/N0488F360 DCT SUNIX DCT SOCAR DCT VANDI DCT AVMAN DCT TODOT DCT KYBER DCT DOVIK DCT LEDIR DCT MKS W35 GURNI DCT BIGUB DCT 0123S11137E DCT TEPEV DCT KADAR M774 OBDOS T22 UGEBO UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1972.1354245690077
AKL,SIN,VELMO DCT 38S163E/N0482F320 DCT PLUGA/N0480F340 M636 TESAT PKS W440 CBA DCT APOMA DCT UKADI DCT 2526S13802E DCT ASUBO/N0488F360 DCT ANZAC DCT 2123S13425E DCT MASER DCT HOO DCT ARG G326 ONOXA DCT GABIT DCT RAMBA DCT KOLTA DCT RITBO/N0482F380 DCT TAVIP DCT LAKUN M635 SURGA T23 UGEBO UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2058.0253306982204
AKL,SIN,MADEP DCT SARAP/N0484F320 DCT WODAY DCT SCOTT J208 BN V129 EML/N0497F300 T13 DOLIB/N0488F360 T13 NTN DCT 17S140E DCT GTE DCT TUSTU DCT BUTPA DCT UNSEP DCT WI DCT LEKEX DCT GAMAL DCT HAMOL DCT OSRUT DCT 0032S11216E DCT BAVUS L504 OBDOS T22 UGEBO 0101N10508E BIPOP,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1964.0945550079464
AKL,SIN,MADEP DCT 35S164E DCT VEPAS/N0485F320 DCT 33S160E DCT KIBAT J208 BN V129 EML T13 NTN/N0490F360 DCT 17S140E DCT DUMAV DCT MASRA DCT OCTOB DCT TODOT DCT KYBER DCT LUSIA DCT LEDIR DCT MKS W35 GURNI DCT ISRUL DCT BUTNU DCT 0143S11122E DCT BUKTU DCT KADAR M774 OBDOS T22 UGEBO UGEBO1A,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1918.7588804358606
AKL,SIN,MADEP DCT SARAP/N0488F320 DCT 30S157E DCT WODAY DCT SCOTT J208 BN V129 EML T13 NTN/N0490F360 DCT 17S140E DCT SUNIX DCT IGUVI DCT VEGPU DCT KITTY DCT ALEGO A458 KPG DCT LBJ DCT PEDET DCT RAMPY DCT 0529S11023E DCT RUPKA/N0482F380 DCT EGUKO DCT BOSLO DCT BANJR DCT PLB G579 REPOV REMES REPOV2B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1964.0945550079464
AKL,SIN,UPLAR DCT TEKEP/N0493F300 DCT BONEY DCT ATROP DCT ITIDE Q69 SU SUSGI W186 EML T13 DOLIB/N0498F320 T13 NTN DCT 17S140E DCT DUMAV/N0494F340 DCT WOOFA DCT AVMAN DCT TODOT DCT KURAU DCT LUSIA DCT LEDIR DCT MKS/N0489F360 DCT ISRUL DCT BIGUB DCT 0138S11125E DCT BUKTU DCT UNTEP M774 OBDOS T22 UGEBO UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2957.7175064424264
AKL,SIN,UPLAR DCT 35S168E DCT RIGMI/N0488F320 DCT GATER DCT SCOTT J208 BN G326 RILGO DCT ELRUG DCT TAVEV DCT 23S140E DCT BIKER G326 TNK DCT ITSMA DCT OVMIS DCT PUGUB/N0489F360 DCT SATNA DCT BELOR DCT RUTEN DCT SULAR DCT ENDOG DCT HULAT DCT DOSDO DCT SUGIK DCT KADAR M774 OBDOS T22 UGEBO UGEBO1B,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2957.7175064424264
AKL,SIN,MADEP DCT 34S163E/N0487F320 DCT 33S160E/N0484F340 DCT BENVO W768 PMQ W821 TW W514 AGETA W623 OLVOR DCT IDODA DCT 2900S14358E DCT TIGGA/N0485F360 DCT KALUG DCT DESET DCT PUMAK DCT KEXIM DCT LIBTU DCT 1900S12400E DCT LULDI/N0483F380 DCT BINOG DCT BOPLO DCT MURAI DCT OVKAS DCT MOVMO DCT WAWAN DCT SPIKO DCT 0450S11023E DCT APAGA DCT SURGA T23 UGEBO KEXAS 0110N10431E BIPOP,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,1890.759759130332
AKL,SIN,PEBLU DCT 36S163E/N0486F320 DCT SAKBI DCT AKALU/N0483F340 DCT MARLN N774 TESAT KADOM W595 PKS W440 CBA DCT MACLA POLEV DCT DESET DCT LISZT DCT HONGI DCT 1900S12900E/N0490F360 DCT JATAR A587 ONOXA/N0482F380 DCT GABIT DCT RAMBA DCT AGUNG DCT RAMPY DCT TAVIP DCT MASRI M635 SURGA T23 UGEBO KEXAS UGEBO1A,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2058.0253306982204
AKL,SIN,UPLAR DCT 35S170E DCT RIGMI/N0486F320 DCT WODAY DCT LAMSI DCT GOMOL W196 DULIN W270 OK W356 CV DCT 26S144E DCT NONET DCT 2400S13800E DCT 2332S13710E DCT ANZAC DCT GEKKO/N0490F360 DCT 1900S12900E DCT HLC DCT JATAR/N0486F380 A587 ONOXA DCT GABIT DCT DULOS DCT SOVKA DCT RITBO DCT TAVIP M635 RAFIS DCT SURGA T23 UGEBO GUNUD KEXAS UGEBO1A,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG,2957.7175064424264
