origin,destination,min_dist_origin,min_dist_dest,route_distances,total_distances,Aircraft Cruise Speed (MPH),Time (H),hausdorff,sector_with_count_waypoint,sector_unique,route
AOJ,NKM,0.8018756451917092,33.72569947858932,697.4483698443493,731.9759449681303,540.0,1.3555110092002414,0.0,RJ16,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOJ,NKM,0.8018756451917092,33.72569947858932,699.5852338229978,734.1128089467788,540.0,1.3594681647162572,36.16258591326803,RJ17,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOJ,NKM,0.8018756451917092,33.72569947858932,842.4201636093749,876.9477387331559,540.0,1.6239772939502888,45.98045962864453,RJ21,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOJ,NKM,0.8018756451917092,33.72569947858932,844.5570275880236,879.0846027118047,540.0,1.627934449466305,45.98045962864453,RJ22,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOJ,NKM,0.8018756451917092,33.72569947858932,1022.2709759373374,1056.7985510611186,540.0,1.9570343538168862,79.82093159876402,RJ26,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOR,KUL,0.28498341807780364,2.4252465918875536,269.2049758524918,271.9152058624571,586.0,0.4640191226321794,0.0,WM6,WM,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOR,KUL,0.28498341807780364,2.4252465918875536,271.0147783372621,273.72500834722746,586.0,0.46710752277683865,63.313601631068614,WM7,WM,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOR,KUL,0.28498341807780364,2.4252465918875536,286.5392217706042,289.2494517805695,586.0,0.4935997470658182,63.313601631068614,WM7,WM,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOR,KUL,0.28498341807780364,2.4252465918875536,331.39673963239534,334.1069696423607,586.0,0.5701484123589773,63.313601631068614,WM8,WM,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOR,KUL,0.28498341807780364,2.4252465918875536,336.22908225547724,338.9393122654426,586.0,0.5783947308284003,63.313601631068614,WM9,WM,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOR,SZB,0.28498341807780364,14.847238045006739,224.67012448026085,239.80234594334541,320.0,0.7493823310729544,0.0,WM4,WM,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOR,SZB,0.28498341807780364,14.847238045006739,226.47992696503118,241.6121484281157,320.0,0.7550379638378615,63.313601631068614,WM5,WM,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOR,SZB,0.28498341807780364,14.847238045006739,230.63834956154457,245.7705710246291,320.0,0.7680330344519659,18.47887259540194,WM5,WM,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOR,SZB,0.28498341807780364,14.847238045006739,232.44815204631493,247.58037350939944,320.0,0.7736886672168732,63.313601631068614,WM6,WM,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AOR,SZB,0.28498341807780364,14.847238045006739,242.00437039837323,257.13659186145776,320.0,0.8035518495670555,63.313601631068614,WM5,WM,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AXJ,KMJ,22.69628462152492,24.634038612440023,0.0,47.33032323396493,310.0,0.15267846204504817,0.0,RJ1,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AXJ,KMJ,31.949865607525684,22.359314889155392,0.0,54.309180496681066,310.0,0.17519090482800342,14.393163721623145,RJ1,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AXJ,KMJ,31.949865607525684,24.634038612440023,14.393163721622988,70.97706794158869,310.0,0.22895828368254414,14.393163721623145,RJ2,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AXT,CTS,10.650123828535047,6.076348221674466,223.29545100535304,240.02192305556258,310.0,0.7742642679211696,0.0,RJ9,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AXT,CTS,10.650123828535047,6.076348221674466,368.26724477037874,384.99371682058825,310.0,1.2419152155502846,40.19308870006016,RJ14,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AXT,CTS,10.650123828535047,6.076348221674466,548.1180570983414,564.8445291485508,310.0,1.8220791262856477,92.77301045410992,RJ19,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AXT,CTS,18.650205457344196,6.076348221674466,217.45038599437657,242.17693967339528,310.0,0.7812159344303073,40.19308870006016,RJ8,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AXT,CTS,18.650205457344196,6.076348221674466,397.30119832233925,422.02775200135784,310.0,1.3613798451656705,92.77301045410992,RJ13,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
AXT,HND,10.650123828535047,31.78656978960138,721.5459182963548,763.9826119144913,586.0,1.303724593710736,0.0,RJ17,RJ,POVOT M774 KEONG W44 ELBAM BLI W33 GOMAT NR W43 KPG
